row,user_input,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,bleu
12,How has the involvement of foreign investors from the USA contributed to the dev,0.2747603833865815,0.819047619047619,0.41148325358851673,0.13782051282051283,0.41346153846153844,0.20673076923076922,0.17252396166134185,0.5142857142857142,0.25837320574162675,0.06315569544881919
13,What Turkana people do for they animals during dry season?,0.25675675675675674,0.8260869565217391,0.3917525773195876,0.16289592760180996,0.5294117647058824,0.2491349480968858,0.19369369369369369,0.6231884057971014,0.2955326460481099,0.07474694097542921
14,What tribe in Kenya they practice semi-nomadism and how this affect their farmin,0.3466135458167331,0.9560439560439561,0.5087719298245614,0.26,0.7222222222222222,0.3823529411764706,0.2868525896414343,0.7912087912087912,0.42105263157894735,0.13653451400784083
15,What are the main function of Tennessee Valley Authority for agricultural and in,0.24615384615384617,0.6504065040650406,0.35714285714285715,0.09567901234567901,0.2540983606557377,0.1390134529147982,0.11384615384615385,0.3008130081300813,0.16517857142857142,0.05102204228682298
16,What were the original key functions established for the TVA?,0.27800829875518673,0.9436619718309859,0.42948717948717946,0.22916666666666666,0.7857142857142857,0.3548387096774194,0.26141078838174275,0.8873239436619719,0.40384615384615385,0.18027805640238795
17,"What are the key characteristics of small-scale crop cultivation, particularly i",0.3617021276595745,0.7870370370370371,0.4956268221574344,0.20085470085470086,0.4392523364485981,0.27565982404692085,0.28085106382978725,0.6111111111111112,0.38483965014577265,0.038498314340499246
18,"As an agribusiness manager overseeing large-scale crop production operations, ho",0.37538461538461537,0.7393939393939394,0.4979591836734694,0.1388888888888889,0.27439024390243905,0.18442622950819673,0.1723076923076923,0.3393939393939394,0.22857142857142856,0.02212490961419864
19,Wat does Artcle 11 of the Unted Nations say abot the right to an adquate standrd,0.319634703196347,0.9459459459459459,0.4778156996587031,0.25229357798165136,0.7534246575342466,0.37800687285223367,0.2511415525114155,0.7432432432432432,0.3754266211604095,0.16173484070767763
20,What does Article 11 of the United Nations Human Rights say about the right to w,0.3533834586466165,0.912621359223301,0.5094850948509485,0.29056603773584905,0.7549019607843137,0.41961852861035426,0.3233082706766917,0.8349514563106796,0.4661246612466124,0.18444941871988377
21,"As an agribusiness manger, wat are the recomended methds for reclaiming land afe",0.421259842519685,0.7535211267605634,0.5404040404040403,0.22134387351778656,0.3971631205673759,0.284263959390863,0.28346456692913385,0.5070422535211268,0.36363636363636365,0.16133483151705236
22,"How contour ploughing help with soil erosion problem on steep slopes, and what o",0.21052631578947367,0.9014084507042254,0.3413333333333334,0.1485148514851485,0.6428571428571429,0.24128686327077747,0.15789473684210525,0.676056338028169,0.256,0.08310053438043967
23,What is fertilisation in crop production?,0.1557377049180328,0.8260869565217391,0.2620689655172414,0.09090909090909091,0.5,0.15384615384615385,0.13114754098360656,0.6956521739130435,0.2206896551724138,0.07489944682393951
24,What is the purpuse of Fertilisation in crop producshun and how does water manag,0.327683615819209,0.9206349206349206,0.48333333333333334,0.26704545454545453,0.7580645161290323,0.3949579831932773,0.3220338983050847,0.9047619047619048,0.47500000000000003,0.1583990898779109
25,Can you tell me how TVA it help with economic development and also what kind of ,0.2358974358974359,0.36220472440944884,0.2857142857142857,0.041237113402061855,0.06349206349206349,0.05,0.11282051282051282,0.1732283464566929,0.13664596273291926,0.005468775079201474
26,"As an agribusiness manager overseeing large-scale crop production operations, I ",0.3684210526315789,0.6275862068965518,0.4642857142857143,0.14634146341463414,0.25,0.1846153846153846,0.1700404858299595,0.2896551724137931,0.2142857142857143,0.08970055316006974
27,Wat areas in Tanznia explot fish for domistic and industral use?,0.13612565445026178,0.896551724137931,0.23636363636363636,0.11578947368421053,0.7857142857142857,0.2018348623853211,0.13089005235602094,0.8620689655172413,0.2272727272727273,0.08199735555364934
28,Zanzibar fish exploitation methods for domestic and industrial use,0.3358208955223881,0.6716417910447762,0.44776119402985076,0.12359550561797752,0.24812030075187969,0.16499999999999998,0.19402985074626866,0.3880597014925373,0.25870646766169153,0.05339375353902068
29,What are the primary challenges facing oil production in the Middle East that co,0.1511627906976744,0.7358490566037735,0.2508038585209003,0.08171206225680934,0.40384615384615385,0.13592233009708737,0.12403100775193798,0.6037735849056604,0.2057877813504823,0.038009058502503114
30,"What are the challenges that Middle East oil production is facing, and how these",0.18430034129692832,0.7397260273972602,0.29508196721311475,0.0821917808219178,0.3333333333333333,0.13186813186813187,0.10921501706484642,0.4383561643835616,0.17486338797814208,0.043739422144007216
31,what type of forests grow in equatorial region and why,0.2,0.6705882352941176,0.3081081081081081,0.06690140845070422,0.2261904761904762,0.10326086956521739,0.10175438596491228,0.3411764705882353,0.15675675675675677,0.038987607160771647
32,What are the primary factors that influence the distribution of forests across t,0.33043478260869563,0.7524752475247525,0.45921450151057397,0.15283842794759825,0.35,0.21276595744680848,0.21304347826086956,0.48514851485148514,0.29607250755287007,0.08042836188243846
33,Can you tell me about the Hifadhi Ardhi Shinyanga proyect and how it relates to ,0.2510460251046025,0.6976744186046512,0.36923076923076925,0.14285714285714285,0.4,0.21052631578947364,0.17573221757322174,0.4883720930232558,0.2584615384615384,0.08063290095667633
34,What does HADO stand for and what is its role in land reclamation projects in Ta,0.2277992277992278,0.6555555555555556,0.33810888252148996,0.08139534883720931,0.23595505617977527,0.12103746397694524,0.11583011583011583,0.3333333333333333,0.17191977077363899,0.028081055551851457
36,how to know when wheat is ready for harvesting,0.35664335664335667,0.8793103448275862,0.5074626865671642,0.29577464788732394,0.7368421052631579,0.4221105527638191,0.34965034965034963,0.8620689655172413,0.4975124378109453,0.20978685057450674
37,Can you tell me about the HADO projct that was funeded by the Sweedish Internato,0.1297709923664122,0.11888111888111888,0.12408759124087591,0.015384615384615385,0.014084507042253521,0.014705882352941176,0.0916030534351145,0.08391608391608392,0.08759124087591241,0.009424260503541209
38,What was the Swedish International Development Agency doing with HADO project in,0.5019607843137255,0.8366013071895425,0.6274509803921569,0.36220472440944884,0.6052631578947368,0.45320197044334976,0.403921568627451,0.673202614379085,0.5049019607843137,0.27387337642841725
39,What are the ways that Tanzania can be solving the challenges that is facing liv,0.2532894736842105,0.5273972602739726,0.3422222222222222,0.132013201320132,0.27586206896551724,0.17857142857142858,0.1875,0.3904109589041096,0.25333333333333335,0.06982428410699751
40,What are the best ways to solve challenges facing livestock-keeping in Tanzania ,0.26282051282051283,0.6890756302521008,0.3805104408352668,0.1382636655948553,0.3644067796610169,0.20046620046620048,0.19230769230769232,0.5042016806722689,0.2784222737819026,0.06026367950713595
41,As an agribusiness managr overseeing large-scale crop producton operations in Au,0.13170731707317074,0.2571428571428571,0.17419354838709677,0.014705882352941176,0.028846153846153848,0.019480519480519484,0.08292682926829269,0.1619047619047619,0.10967741935483871,0.004571563525339105
42,"What Australian Merino sheep is, it one breed or many strain?",0.14761904761904762,0.8378378378378378,0.25101214574898784,0.1291866028708134,0.75,0.22040816326530613,0.14761904761904762,0.8378378378378378,0.25101214574898784,0.09453762358822143
43,"As agribusiness manager, I need know more about underground water and how it wor",0.303886925795053,0.6231884057971014,0.4085510688836104,0.1276595744680851,0.26277372262773724,0.17183770883054894,0.18374558303886926,0.37681159420289856,0.24703087885985753,0.03595058953123493
44,"As an agribusiness manger overseeing large-scale crop producton operations, I ne",0.225130890052356,0.6277372262773723,0.33140655105973027,0.10498687664041995,0.29411764705882354,0.15473887814313345,0.1518324607329843,0.4233576642335766,0.2235067437379576,0.0727122984321693
45,"What cash crops they grow in Kigoma region, I need know for my supply operations",0.21176470588235294,0.6545454545454545,0.32,0.10059171597633136,0.3148148148148148,0.15246636771300448,0.17647058823529413,0.5454545454545454,0.26666666666666666,0.022402436774303293
46,Wich major cash crpos are grown in Mbeya region of Tanzania and what areas are t,0.7,0.11290322580645161,0.19444444444444445,0.4444444444444444,0.06557377049180328,0.1142857142857143,0.5,0.08064516129032258,0.13888888888888887,0.00042761396004985545
47,As an agribusiness manager overseeing large-scale crop production operations in ,0.23851203501094093,0.7622377622377622,0.3633333333333333,0.1513157894736842,0.4859154929577465,0.23076923076923075,0.1487964989059081,0.4755244755244755,0.22666666666666668,0.07409977022731387
48,As an agribusiness manager overseeing large-scale crop production operations in ,0.1588235294117647,0.2076923076923077,0.17999999999999997,0.047337278106508875,0.06201550387596899,0.053691275167785234,0.09411764705882353,0.12307692307692308,0.10666666666666666,0.03137705956894793
49,I is managing big farming operations and need to move equipment and raw material,0.2716049382716049,0.7857142857142857,0.40366972477064217,0.18181818181818182,0.5301204819277109,0.27076923076923076,0.21810699588477367,0.6309523809523809,0.3241590214067278,0.16887542011380982
50,As an agribusiness managr overseeing large-scale crop producton operations in Na,0.185,0.33636363636363636,0.23870967741935484,0.02512562814070352,0.045871559633027525,0.03246753246753247,0.09,0.16363636363636364,0.1161290322580645,0.008989729968885543
51,Can you explane what Figur 8.4 shows about how hydro-electrik power is genereted,0.35,0.8666666666666667,0.4986301369863013,0.23552123552123552,0.5865384615384616,0.3360881542699725,0.2846153846153846,0.7047619047619048,0.4054794520547945,0.12664085168117806
52,"In the context of hydroelectric power generation, what does Figure 8.4 illustrat",0.33962264150943394,0.6990291262135923,0.45714285714285713,0.1895734597156398,0.39215686274509803,0.255591054313099,0.2688679245283019,0.5533980582524272,0.3619047619047619,0.07219142061854592
53,Wat is the contribushun of livestok industris to Australias agricultral sector?,0.24313725490196078,0.7045454545454546,0.36151603498542273,0.11811023622047244,0.3448275862068966,0.1759530791788856,0.1411764705882353,0.4090909090909091,0.20991253644314867,0.05627820248922104
54,"As an agribusiness managr overseeing large-scale crop producton in Tasmaania, wh",0.1368421052631579,0.26262626262626265,0.17993079584775087,0.010582010582010581,0.02040816326530612,0.013937282229965157,0.08421052631578947,0.16161616161616163,0.11072664359861592,0.0019277095519018043
55,I is managing big farming operations near tourist area like Serengeti and I want,0.212707182320442,0.6311475409836066,0.31818181818181823,0.038781163434903045,0.11570247933884298,0.058091286307053944,0.09668508287292818,0.28688524590163933,0.1446280991735537,0.0034668709775164423
56,Tanzania tourist attraction centers infrastructure,0.23076923076923078,0.8260869565217391,0.3607594936708861,0.12195121951219512,0.4411764705882353,0.1910828025477707,0.15789473684210525,0.5652173913043478,0.2468354430379747,0.03542507033372794
57,"As an agribusiness managr overseeing large-scale crop producton operations, I am",0.43636363636363634,0.7461139896373057,0.5506692160611855,0.23100303951367782,0.3958333333333333,0.2917466410748561,0.2787878787878788,0.47668393782383417,0.35181644359464626,0.1285866076340986
58,"As an agribusiness manger overseeing large-scale crop producton operations, I am",0.45229681978798586,0.7529411764705882,0.5651214128035319,0.29432624113475175,0.4911242603550296,0.36807095343680707,0.2862190812720848,0.4764705882352941,0.3576158940397351,0.16154881358616058
59,"As an agribusiness managr overseeing large-scale crop producton operations, I am",0.6484018264840182,0.5916666666666667,0.6187363834422658,0.43119266055045874,0.39330543933054396,0.4113785557986871,0.4840182648401826,0.44166666666666665,0.46187363834422657,0.15244673166252667
60,As an agribusiness manager considering energy sources for large-scale operations,0.4151624548736462,0.8846153846153846,0.565110565110565,0.3079710144927536,0.6589147286821705,0.41975308641975306,0.36823104693140796,0.7846153846153846,0.5012285012285013,0.20641571464130012
61,"I hear tanzanite only found near Mererani Hills, can you tell me more about wher",0.326271186440678,0.7403846153846154,0.45294117647058824,0.20851063829787234,0.47572815533980584,0.2899408284023669,0.24152542372881355,0.5480769230769231,0.3352941176470588,0.08805119086722799
62,what mineral element causes the blue and violet color in tanzanite and where is ,0.365296803652968,0.9302325581395349,0.5245901639344263,0.29357798165137616,0.7529411764705882,0.42244224422442245,0.3287671232876712,0.8372093023255814,0.47213114754098356,0.22079678817938284
63,"Where in Tanzania coniferous forests be found, and what kind of climate Mufindi ",0.23039215686274508,0.8703703703703703,0.3643410852713178,0.1477832512315271,0.5660377358490566,0.23437500000000003,0.20098039215686275,0.7592592592592593,0.3178294573643411,0.047115666733613754
64,Where are coniferous forests found in Tanzania Njombe region?,0.35678391959798994,0.8255813953488372,0.4982456140350877,0.23737373737373738,0.5529411764705883,0.33215547703180215,0.2613065326633166,0.6046511627906976,0.3649122807017544,0.09207622620260184
65,"I is managing big cotton farm and need to know all the ways cotton can be used, ",0.3483606557377049,0.5985915492957746,0.44041450777202074,0.13168724279835392,0.22695035460992907,0.16666666666666666,0.19672131147540983,0.3380281690140845,0.24870466321243523,0.004853319607407318
66,What are the main uses of Cotton in manufacturing and agriculture industries?,0.30412371134020616,0.8309859154929577,0.4452830188679245,0.17616580310880828,0.4857142857142857,0.2585551330798479,0.211340206185567,0.5774647887323944,0.30943396226415093,0.0604058850019773
67,How fossil fuel price it affect my farming operation cost?,0.1989795918367347,0.7959183673469388,0.3183673469387755,0.08205128205128205,0.3333333333333333,0.13168724279835392,0.1377551020408163,0.5510204081632653,0.2204081632653061,0.04908284058982028
68,How do fossil fuel price fluctuations impact large-scale agricultural and indust,0.1607843137254902,0.8723404255319149,0.271523178807947,0.08267716535433071,0.45652173913043476,0.14,0.13333333333333333,0.723404255319149,0.22516556291390727,0.030686837890518424
69,How do manufacturing industries benefit agricultural production?,0.136986301369863,0.6349206349206349,0.22535211267605634,0.044673539518900345,0.20967741935483872,0.0736543909348442,0.0821917808219178,0.38095238095238093,0.1352112676056338,0.006320385965619719
70,How manufacturing industries help agriculture grow more?,0.15151515151515152,0.6349206349206349,0.24464831804281348,0.030418250950570342,0.12903225806451613,0.049230769230769224,0.07954545454545454,0.3333333333333333,0.12844036697247707,0.006775916424351099
71,"What is the significance of Indonesia in the global clove industry, and how did ",0.25461254612546125,0.8117647058823529,0.3876404494382022,0.17037037037037037,0.5476190476190477,0.2598870056497175,0.19557195571955718,0.6235294117647059,0.297752808988764,0.06331032541107467
72,"I is managing big crop operation and want to know more about clove production, c",0.3656387665198238,0.7155172413793104,0.4839650145772595,0.23008849557522124,0.45217391304347826,0.30498533724340177,0.3039647577092511,0.5948275862068966,0.40233236151603496,0.10162831304903722
,AVERAGE,0.2829247854127389,0.7119385645526877,0.3871649360233541,0.15834474283926656,0.4089767038802167,0.21747638413348588,0.20071119138693988,0.5154087468158254,0.2760064196952662,0.07770292565445815
